SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: 
SPL cal offset: 125.24833755493164 dB
High Pass Filter: Off
Date: Mar 4, 2022 12:00:49 PM
Start: 1646395249917
Log length: 366 entries over 62.5s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 37.9 37.8 38.1 51.8 38.2 30.5 38.2 38.2 12:00:49.171
0.341 37.8 37.7 38.1 54.0 38.2 33.5 38.2 38.2 12:00:49.341
0.512 37.7 37.7 38.1 64.8 38.4 35.5 38.4 38.4 12:00:49.512
0.683 37.9 37.7 38.1 64.8 38.5 36.8 38.5 38.5 12:00:49.683
0.853 37.6 37.6 38.1 64.8 38.3 37.6 38.3 38.3 12:00:49.853
1.024 37.7 37.6 38.1 64.8 38.3 38.4 38.3 38.3 12:00:50.024
1.195 37.5 37.5 38.1 64.8 38.2 39.0 38.2 38.2 12:00:50.195
1.365 37.5 37.5 38.1 64.8 38.3 39.7 38.3 38.3 12:00:50.365
1.536 37.8 37.5 38.1 64.8 38.4 40.3 38.4 38.4 12:00:50.536
1.707 37.9 37.5 38.1 64.8 38.5 40.8 38.5 38.5 12:00:50.707
1.877 38.1 37.5 38.1 64.8 38.5 41.2 38.5 38.5 12:00:50.877
2.048 37.7 37.5 38.1 64.8 38.5 41.6 38.5 38.5 12:00:51.048
2.219 37.6 37.5 38.1 64.8 38.4 41.9 38.4 38.4 12:00:51.219
2.389 37.6 37.5 38.1 64.8 38.5 42.2 38.5 38.5 12:00:51.389
2.560 37.9 37.5 38.1 64.8 38.6 42.6 38.6 38.6 12:00:51.560
2.731 37.8 37.5 38.1 64.8 38.6 42.9 38.6 38.6 12:00:51.731
2.901 38.0 37.5 38.1 64.8 38.6 43.2 38.6 38.6 12:00:51.901
3.072 38.2 37.5 38.2 64.8 38.6 43.5 38.6 38.6 12:00:52.072
3.243 38.4 37.5 38.4 64.8 38.7 43.8 38.7 38.7 12:00:52.243
3.413 38.2 37.5 38.4 64.8 38.7 44.0 38.7 38.7 12:00:52.413
3.584 37.8 37.5 38.4 64.8 38.7 44.2 38.7 38.7 12:00:52.584
3.755 37.8 37.5 38.4 64.8 38.6 44.4 38.6 38.6 12:00:52.755
3.925 37.3 37.3 38.4 64.8 38.6 44.5 38.6 38.6 12:00:52.925
4.096 37.3 37.3 38.4 64.8 38.6 44.7 38.6 38.6 12:00:53.096
4.267 37.5 37.3 38.4 64.8 38.5 44.8 38.5 38.5 12:00:53.267
4.437 37.6 37.3 38.4 64.8 38.5 45.0 38.5 38.5 12:00:53.437
4.608 37.8 37.3 38.4 64.8 38.6 45.2 38.6 38.6 12:00:53.608
4.779 38.0 37.3 38.4 64.8 38.6 45.4 38.6 38.6 12:00:53.779
4.949 38.2 37.3 38.4 64.8 38.6 45.5 38.6 38.6 12:00:53.949
5.120 38.2 37.3 38.4 64.8 38.6 45.7 38.6 38.6 12:00:54.120
5.291 38.0 37.3 38.4 64.8 38.6 45.8 38.6 38.6 12:00:54.291
5.461 37.5 37.3 38.4 64.8 38.5 45.9 38.5 38.5 12:00:54.461
5.632 37.7 37.3 38.4 64.8 38.5 46.0 38.5 38.5 12:00:54.632
5.803 37.7 37.3 38.4 64.8 38.6 46.2 38.6 38.6 12:00:54.803
5.973 38.1 37.3 38.4 64.8 38.6 46.4 38.6 38.6 12:00:54.973
6.144 37.9 37.3 38.4 64.8 38.6 46.5 38.6 38.6 12:00:55.144
6.315 37.7 37.3 38.4 64.8 38.6 46.6 38.6 38.6 12:00:55.315
6.485 37.5 37.3 38.4 64.8 38.6 46.7 38.6 38.6 12:00:55.485
6.656 37.7 37.3 38.4 64.8 38.6 46.8 38.6 38.6 12:00:55.656
6.827 38.1 37.3 38.4 64.8 38.6 46.9 38.6 38.6 12:00:55.827
6.997 38.3 37.3 38.4 64.8 38.6 47.1 38.6 38.6 12:00:55.997
7.168 38.1 37.3 38.4 64.8 38.6 47.2 38.6 38.6 12:00:56.168
7.339 37.7 37.3 38.4 64.8 38.6 47.3 38.6 38.6 12:00:56.339
7.509 37.2 37.2 38.4 64.8 38.6 47.3 38.6 38.6 12:00:56.509
7.680 37.6 37.2 38.4 64.8 38.6 47.4 38.6 38.6 12:00:56.680
7.851 37.5 37.2 38.4 64.8 38.6 47.5 38.6 38.6 12:00:56.851
